# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	561
#@/user_id	33e91bdb-5ca1-4f37-9238-e29cf6b8326d
yi xie 	一些	c=0 d=0.0786628 t=561
ying pan 	硬盤	c=2 d=1.80153 t=561
ying pan wen hua 	硬盤文化	c=1 d=0.847894 t=561
ying wen 	英文	c=4 d=1.93035 t=561
yong 	用	c=1 d=0.321422 t=561
yong hu 	用戶	c=1 d=0.955997 t=561
you 	右	c=2 d=0.567182 t=561
you 	有	c=7 d=3.01088 t=561
you ji chang 	有機場	c=1 d=0.242926 t=561
you ku 	優酷	c=2 d=1.4492 t=561
you mei you 	有沒有	c=1 d=0.83527 t=561
you shi jian 	有時間	c=1 d=0.467666 t=561
yu ding 	預訂	c=1 d=0.412714 t=561
yuan 	院	c=1 d=0.127454 t=561
yuan xian 	原先	c=1 d=0.282239 t=561
yue 	月	c=1 d=0.20089 t=561
yue 	約	c=1 d=0.479505 t=561
yue nan 	越南	c=14 d=3.87537 t=561
yun 	暈	c=0 d=0.0913931 t=561
yun 	雲	c=1 d=0.946485 t=561
zai 	再	c=1 d=0.537944 t=561
zai 	在	c=3 d=1.01336 t=561
zai jia 	在家	c=0 d=0.0484325 t=561
zai shuo 	再說	c=0 d=0.0810584 t=561
zai shuo ba 	再說吧	c=1 d=0.814647 t=561
zai wang shang 	在網上	c=1 d=0.410656 t=561
zai xian 	在線	c=1 d=0.900325 t=561
zan li 	贊禮	c=1 d=0.718924 t=561
zang li 	葬禮	c=2 d=1.51922 t=561
zen me 	怎麼	c=5 d=1.32492 t=561
zen me mai 	怎麼買	c=1 d=0.193013 t=561
zhang 	張	c=0 d=0.0900325 t=561
zhang tian ai 	張天崖	c=2 d=1.8466 t=561
zhao 	找	c=1 d=0.207008 t=561
zhao 	照	c=1 d=0.261846 t=561
zhao biao 	招標	c=1 d=0.26054 t=561
zhao ge 	找個	c=2 d=1.39085 t=561
zhe 	這	c=1 d=0.856415 t=561
zhe ben 	這本	c=1 d=0.794534 t=561
zhe ge 	這個	c=2 d=1.61328 t=561
zhen de 	真的	c=4 d=2.86504 t=561
zhen lei 	真累	c=1 d=0.697676 t=561
zhen xin 	真心	c=3 d=1.6442 t=561
zhong guo 	中國	c=1 d=0.873716 t=561
zhong wu 	中午	c=0 d=0.0904837 t=561
zhong wu jian 	中午見	c=1 d=0.909373 t=561
zhong yue 	中越	c=1 d=0.257947 t=561
zhu 	豬	c=1 d=0.66034 t=561
zi ji 	自己	c=2 d=1.4838 t=561
zi ji lai 	自己來	c=1 d=0.677057 t=561
zi mu 	字幕	c=1 d=1 t=561
zui jin 	最近	c=1 d=0.144424 t=561
zuo 	做	c=2 d=0.705163 t=561
zuo 	坐	c=1 d=0.358796 t=561
